country,isocode,year,POP,XRAT,Currency_Unit,ppp,cgdp,cc,cg,ci,p,pc,pg,pi,openc,cgnp,y,yEKS,yCPDW,rgdpl,rgdpl2,rgdpch,rgdpeqa,rgdpwok,rgdpl2wok,rgdpl2pe,rgdpl2te,rgdpl2th,rgdptt,openk,kc,kg,ki,grgdpch,grgdpl2
Guinea,GIN,2001,8416.924,1950.5583333,Guinea Franc,221.12594805,3180.5819087,94.195585093,3.4108422256,3.728099769,11.336546274,9.5135080439,22.823381315,46.888805844,54.560197307,96.959686742,8.9936043157,7.0066663929,8.1457673858,3456.4818997,3520.300294,3453.7140116,4405.5004336,7273.6548885,7413.8881668,,,,3456.4024941,55.447847039,93.882748084,3.4294542561,4.0446366957,6.7593989731,2.9229594232
Guinea,GIN,2002,8520.304,1975.84375,Guinea Franc,220.16537311,3379.914401,95.217443725,3.7078345602,3.2402343874,11.142853432,9.496507436,22.708708377,46.287403778,51.087487974,98.815573258,9.3277758701,7.2552762831,8.5621155414,3616.2134652,3627.2405466,3615.0301057,4610.3199142,7597.8251261,7623.4882027,,,,3615.9454108,51.065318602,94.995341892,3.7078116673,3.461389418,4.6708005798,3.0378162007
Guinea,GIN,2003,8755.538,1984.93125,Guinea Franc,236.04486263,3478.1055883,96.167937642,3.7410651875,2.4573754011,11.891840719,10.435206193,24.755206292,49.313412161,46.931081495,98.91419676,9.2465197759,7.1248110142,8.6840598554,3658.1603654,3570.8548589,3659.1444578,4666.222638,7683.2629607,7497.8774936,,,,3657.9303183,45.654190404,96.009534725,3.7296668191,2.5642633859,1.2203038637,-1.554506434
Guinea,GIN,2004,8971.979,2225.025,Guinea Franc,280.5032732,3549.0556401,98.442770083,3.0556279335,2.8154021129,12.606747034,11.086645256,26.278435808,50.920079007,46.412817125,98.481596914,8.9346784748,6.8548472375,8.4138911542,3657.3388776,3564.3250706,3657.9023119,4663.7252218,7672.8331516,7476.5450887,,,,3657.4385954,45.263440627,98.28659954,3.0555574504,2.8647782724,-0.033946348,-0.182863449
Guinea,GIN,2005,9153.73,3644.3333333,Guinea Franc,358.944527,3612.2188885,96.382169675,3.1101059077,3.6386749928,9.8493879174,8.4559876396,20.012246069,38.071577869,59.816659084,98.511212334,8.6271397574,6.7354586957,8.0468353796,3612.2188886,3612.2188886,3612.2188885,4604.3339986,7568.8572645,7568.8572646,,,,3612.2188886,59.816659082,96.382169675,3.1101059074,3.6386749925,-1.248896757,1.3436994957
Guinea,GIN,2006,9345.729,4971.5,Guinea Franc,469.4371598,3722.2554496,97.37338358,3.666173724,3.6045420441,9.4425658211,8.0870213569,19.355103786,35.979325186,74.515014941,101.64221559,8.4587480621,6.5655602202,7.8964459717,3617.8281494,3625.491541,3617.8281494,4609.7565717,7563.0032895,7579.0234688,,,,3617.3476443,74.451714626,97.392384756,3.6962469419,3.5514065174,0.1552857411,0.3674376555
Guinea,GIN,2007,9569.216,4648.7096774,Guinea Franc,541.95100079,3794.3993446,101.40527919,3.2442180326,3.9280508038,11.658095222,10.013701786,24.263023105,43.698679079,58.359743227,98.541165464,8.3215866861,6.4547930254,7.8166754887,3584.2979145,3584.5877394,3584.5131408,4565.3505256,7493.0619472,7493.217888,,,,3584.2462432,58.348024511,101.43801927,3.3248810588,3.8137760241,-0.920856581,-1.128227748
Guinea-Bissau,GNB,1950,573.268,0.83,CFA Franc BCEAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,1951,576.948,0.83,CFA Franc BCEAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,1952,580.653,0.83,CFA Franc BCEAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
